pp,trial,voice_id,condition,scene_id,1,2,3,4,5,6,7,8,9,ans_sd,SoPA,SoNA,Accept,SoA,Authorship
P09,10,robotic,enhance,4,1.0,5.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,0.7071067811865476,1.6,2.0,2.0,2.857142857142857,2.0
P09,11,robotic,counter,6,2.0,7.0,7.0,1.0,3.0,3.0,1.0,2.0,1.0,0.8864052604279183,1.8,1.0,1.0,3.2857142857142856,1.0
P10,1,clone,repeat,10,5.0,3.0,3.0,6.0,4.0,5.0,2.0,4.0,8.0,1.1952286093343936,4.2,5.0,8.0,3.857142857142857,6.0
P10,2,clone,counter,12,2.0,5.0,3.0,2.0,2.0,6.0,2.0,2.0,2.0,1.6035674514745464,2.0,4.0,2.0,2.5714285714285716,2.0
P10,3,clone,enhance,2,3.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,9.0,0.6408699444616557,2.8,3.5,9.0,3.2857142857142856,3.0
P10,4,clone,repeat,4,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,6.0,0.9161253813129043,3.4,4.5,6.0,3.4285714285714284,4.0
P10,5,clone,counter,6,2.0,6.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,2.2038926600773587,1.2,4.0,2.0,2.0,1.0
P10,6,clone,enhance,8,4.0,4.0,2.0,5.0,4.0,5.0,1.0,2.0,10.0,1.6420805617960927,3.2,5.0,10.0,3.142857142857143,5.0
P10,7,robotic,enhance,9,3.0,5.0,2.0,4.0,1.0,7.0,1.0,1.0,4.0,2.3145502494313788,2.0,4.5,4.0,2.4285714285714284,4.0
P10,8,robotic,counter,11,1.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.3754698783308417,1.0,4.0,2.0,1.8571428571428572,1.0
P10,9,robotic,repeat,1,3.0,5.0,3.0,3.0,3.0,5.0,1.0,1.0,5.0,1.5118578920369088,2.2,4.0,5.0,2.7142857142857144,3.0
P10,10,robotic,enhance,3,3.0,6.0,3.0,4.0,1.0,4.0,1.0,1.0,7.0,1.5979898086569353,2.0,3.5,7.0,2.7142857142857144,4.0
P10,11,robotic,counter,5,1.0,6.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.7222627143085005,1.0,4.5,1.0,1.7142857142857142,1.0
P10,12,robotic,repeat,7,1.0,6.0,1.0,2.0,1.0,7.0,1.0,1.0,7.0,2.659215781283755,1.2,4.5,7.0,1.8571428571428572,2.0
P11,1,clone,enhance,11,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,7.0,0.8345229603962802,4.4,3.0,7.0,4.571428571428571,5.0
P11,2,clone,repeat,1,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,0.7440238091428449,5.0,3.5,7.0,4.857142857142857,5.0
P11,3,clone,counter,3,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.2638462845343543,1.0,6.0,2.0,1.2857142857142858,1.0
P11,4,clone,enhance,5,5.0,3.0,6.0,5.0,5.0,4.0,5.0,5.0,7.0,1.0690449676496976,5.0,3.5,7.0,4.857142857142857,5.0
P11,5,clone,repeat,7,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,10.0,3.1052950170405937,7.0,1.0,10.0,7.0,7.0
P11,6,clone,counter,9,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,7.0,0.5175491695067657,5.0,4.0,7.0,4.714285714285714,5.0
P11,7,robotic,counter,12,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3.1052950170405937,1.0,7.0,1.0,1.0,1.0
P11,9,robotic,enhance,4,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,0.5345224838248488,3.2,4.0,4.0,3.4285714285714284,3.0
P11,10,robotic,counter,6,1.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.7525491637693282,1.0,3.5,1.0,2.0,1.0
P11,11,robotic,repeat,8,5.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,8.0,1.4142135623730951,5.8,3.0,8.0,5.571428571428571,6.0
P12,1,clone,enhance,12,6.0,6.0,7.0,3.0,4.0,1.0,3.0,2.0,9.0,1.6690459207925603,3.6,1.5,9.0,4.428571428571429,3.0
P12,2,clone,repeat,2,7.0,7.0,7.0,7.0,6.0,1.0,5.0,7.0,10.0,2.8753881725529062,6.4,1.0,10.0,6.571428571428571,7.0
P12,3,clone,counter,4,2.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,1.2817398889233114,2.0,4.5,3.0,2.4285714285714284,3.0
P12,4,clone,enhance,6,5.0,3.0,5.0,4.0,2.0,2.0,5.0,2.0,7.0,1.4142135623730951,3.6,4.0,7.0,3.7142857142857144,4.0
P12,5,clone,repeat,8,6.0,7.0,7.0,7.0,7.0,1.0,6.0,6.0,9.0,2.8252686345094435,6.4,1.0,9.0,6.571428571428571,7.0
