trial,index,question_text,answer_index,answer_text,pp,SUS
12,15,15. The movements of the virtual body felt like they were my movements.,1,,P14,1.0
12,16,16. I felt like I was controlling the movements of the virtual body.,7,,P14,7.0
12,1,1. In the computer generated world I had a sense of being there,5,,P15,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,7,,P15,7.0
12,3,3. I felt like I was just perceiving pictures,3,,P15,3.0
12,4,4. I did not feel present in the virtual space,5,,P15,5.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,5,,P15,5.0
12,6,6. I felt present in the virtual space,3,,P15,3.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),2,,P15,2.0
12,8,8. I was not aware of my real environment,3,,P15,3.0
12,9,9. I still paid attention to the real environment,6,,P15,6.0
12,10,10. I was completely captivated by the virtual world,1,,P15,1.0
12,11,11. How real did the virtual world seem to you?,5,,P15,5.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,4,,P15,4.0
12,13,13. How real did the virtual world seem to you?,3,,P15,3.0
12,14,14. The virtual world seemed more realistic than the real world,6,,P15,6.0
12,15,15. The movements of the virtual body felt like they were my movements.,5,,P15,5.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P15,5.0
12,1,1. In the computer generated world I had a sense of being there,5,,P12,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,3,,P12,3.0
12,3,3. I felt like I was just perceiving pictures,1,,P12,1.0
12,4,4. I did not feel present in the virtual space,1,,P12,1.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,6,,P12,6.0
12,6,6. I felt present in the virtual space,6,,P12,6.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),3,,P12,3.0
12,8,8. I was not aware of my real environment,3,,P12,3.0
12,9,9. I still paid attention to the real environment,3,,P12,3.0
12,10,10. I was completely captivated by the virtual world,2,,P12,2.0
12,11,11. How real did the virtual world seem to you?,5,,P12,5.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,3,,P12,3.0
12,13,13. How real did the virtual world seem to you?,5,,P12,5.0
12,14,14. The virtual world seemed more realistic than the real world,2,,P12,2.0
12,15,15. The movements of the virtual body felt like they were my movements.,6,,P12,6.0
12,16,16. I felt like I was controlling the movements of the virtual body.,6,,P12,6.0
12,1,1. In the computer generated world I had a sense of being there,5,,P24,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,6,,P24,6.0
12,3,3. I felt like I was just perceiving pictures,4,,P24,4.0
12,4,4. I did not feel present in the virtual space,2,,P24,2.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,5,,P24,5.0
12,6,6. I felt present in the virtual space,5,,P24,5.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),5,,P24,5.0
12,8,8. I was not aware of my real environment,5,,P24,5.0
12,9,9. I still paid attention to the real environment,2,,P24,2.0
12,10,10. I was completely captivated by the virtual world,5,,P24,5.0
12,11,11. How real did the virtual world seem to you?,5,,P24,5.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,4,,P24,4.0
12,13,13. How real did the virtual world seem to you?,3,,P24,3.0
12,14,14. The virtual world seemed more realistic than the real world,2,,P24,2.0
12,15,15. The movements of the virtual body felt like they were my movements.,5,,P24,5.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P24,5.0
12,1,1. In the computer generated world I had a sense of being there,4,,P23,4.0
12,2,2. Somehow I felt that the virtual world surrounded me,3,,P23,3.0
12,3,3. I felt like I was just perceiving pictures,5,,P23,5.0
12,4,4. I did not feel present in the virtual space,5,,P23,5.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,6,,P23,6.0
12,6,6. I felt present in the virtual space,3,,P23,3.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),2,,P23,2.0
12,8,8. I was not aware of my real environment,5,,P23,5.0
12,9,9. I still paid attention to the real environment,2,,P23,2.0
12,10,10. I was completely captivated by the virtual world,5,,P23,5.0
12,11,11. How real did the virtual world seem to you?,2,,P23,2.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,3,,P23,3.0
12,13,13. How real did the virtual world seem to you?,5,,P23,5.0
12,14,14. The virtual world seemed more realistic than the real world,2,,P23,2.0
12,15,15. The movements of the virtual body felt like they were my movements.,6,,P23,6.0
12,16,16. I felt like I was controlling the movements of the virtual body.,6,,P23,6.0
12,1,1. In the computer generated world I had a sense of being there,6,,P01,6.0
12,2,2. Somehow I felt that the virtual world surrounded me,5,,P01,5.0
12,3,3. I felt like I was just perceiving pictures,3,,P01,3.0
12,4,4. I did not feel present in the virtual space,5,,P01,5.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,1,,P01,1.0
